programme_relationship	primary_estimate	oa_only_estimate	absolute_change	direction_preserved	qualitative_interpretation_preserved
RA projection concordance		0.998970398970399			TRUE
general_inflammation	0.328185328185328	0.316859716859717	0.0113256113256111	TRUE	TRUE
mhc_ii_apc_primary	0.0913770913770914	0.0900900900900901	0.00128700128700129	TRUE	TRUE
mhc_ii_apc_generic	0.0774774774774775	0.0731016731016731	0.0043758043758044	TRUE	TRUE
myeloid_context	0.273101673101673	0.277477477477478	0.00437580437580454	TRUE	TRUE
interferon_state	0.27001287001287	0.256370656370656	0.0136422136422136	TRUE	TRUE
t_cell_context	-0.358558558558559	-0.348519948519949	0.0100386100386105	TRUE	TRUE
b_cell_context	-0.178893178893179	-0.160875160875161	0.0180180180180181	TRUE	TRUE
fibroblast_ecm	0.0234234234234234	-0.015958815958816	0.0393822393822394	FALSE	TRUE
osteoclast_context	0.0213642213642214	0.00566280566280566	0.0157014157014157	TRUE	TRUE
