program,n_genes,genes,source,use
frozen_ra_up,150,WDR74;SETX;TMEM123;SLC30A7;TRAM1;B2M;STT3B;TOPBP1;BIRC6;ATF6;IRAK4;CMTM6;DNAJC10;ZDHHC20;AMD1;DENND4A;SP3;GLIPR1;CPD;DNAJC3;ZNF451;VPS13C;TMEM33;FAM208B;MDM2;ASCC3;SCYL2;SMCHD1;KIAA1033;PTBP3;TMEM66;GNA13;TRPM7;TM9SF2;PTPRC;MAP3K2;COPB1;TRAPPC8;KIAA1551;BACH1;ACAP2;VMP1;NRAS;SPCS3;RAP1B;TAF2;MFAP3;ITPR2;LAMP2;BIRC2;ARFGEF1;ATR;XRN1;NUPL1;ACTR3;HIAT1;SRGN;MALT1;DDX3X;TMEM30A;ATM;SNX14;LRRC8C;ITFG1;SELT;ABI1;RNF6;GALNT1;NPAT;MARCH7;WDR11;ATP11C;PPIP5K2;CEP192;LPGAT1;MTMR6;RFWD2;LIN54;NUFIP2;RLIM;CAPZA1;FRYL;DDX5;ABCC4;SAMD9;USP15;ATP2B1;DESI2;PRPF40A;ZFYVE16;MFSD1;RECQL;RIT1;CD46;HEXB;JAK2;ELF1;PAPOLA;RICTOR;NUP155;LYPLA1;TWF1;LUM;IVNS1ABP;IARS;SPG11;DICER1;CASP4;UBE4A;SUCO;VCPIP1;MCMBP;FAM208A;ZMYM6;RNF138;GAPVD1;ZMYM2;PGM2;CTBS;PANK3;RNF13;SPTLC1;FAM91A1;KIAA1432;CDC42SE2;TXNDC9;NUP153;TMEM167A;ARFGEF2;XRN2;LTN1;USP3;ZNF267;B3GNT2;PIK3C2A;CCPG1;ZNF800;KLHL2;SS18;NUP54;ATP11B;AKAP10;ERP44;UBA3;GNAI3;NUP205;IFNGR1;ATP6V1A;ZNF845;AGTPBP1,Stage1_GSE89408_frozen_reference,RA_projection
frozen_ra_down,150,ZBTB4;DCTN1;TCF7L1;HSPB6;ZFHX2;SLC27A1;NUMA1;HDAC5;LOC100507472;CBX7;FBXW4;SPTBN4;PNMAL2;NOL3;RXRA;TMEM8B;SYNE3;SCAF1;SCRIB;LZTS2;ARVCF;ZNF703;MAP2K7;DKFZp434J194;GIGYF1;ZC3H4;HIRIP3;TAB1;DNAJB2;SLC2A4RG;D2HGDH;TNKS1BP1;PELP1;MEGF8;PRX;TBC1D17;IBA57;ZNF362;SH2B1;ZBTB47;ZNF219;SART1;TOM1L2;RAB11FIP3;TBC1D24;PCNT;TSNARE1;CROCC;ZC3H7B;GOLGA2;PLEKHH3;SMARCC2;GSE1;CCDC9;HDGFRP2;MAPRE3;ZC3H18;MTSS1L;ZNF213;PNPLA2;TRIM56;SIX5;PLEKHA6;NUMBL;KLHL21;RGMA;RPH3AL;RUSC2;ATN1;UNKL;SURF6;LOC283335;BC034268;CTD-2619J13.14;PNPLA7;LOC493754;MTRNR2L8;MLLT1;FLYWCH1;LINC00482;TRIM41;FN3K;CRTC1;INTS1;MNT;INF2;TMEM129;ZNF768;DMPK;EFNB1;PPP1R26;ZSCAN18;MPRIP;TAF3;SNRNP70;OBSL1;SETD1A;SEMA3B;EXD3;MAP7D1;MUM1;MMP24-AS1;PRR12;ACAP3;PRPF6;MLLT6;MZF1;CPSF3L;PRKCSH;PAGR1;NISCH;PEX6;ZDHHC8;NINL;ALAD;EHBP1L1;RERE;CLUH;FOXO4;TOLLIP;POLRMT;RAB11B;IRF2BP1;GJC2;FOXK1;PAK4;ULK1;HLX;SH3GLB2;ARFRP1;PPP1R3F;AK056618;CCDC92;AHDC1;HECTD3;BRAT1;C19orf68;DVL1;ARHGEF40;NCKAP5L;DHX38;MXD4;ZFP41;RAB3IL1;UBOX5;TCOF1;ZNF496;ZNF696;TRIOBP;STRF6,Stage1_GSE89408_frozen_reference,RA_projection
general_inflammation,200,ABCA1;ABI1;ACVR1B;ACVR2A;ADGRE1;ADM;ADORA2B;ADRM1;AHR;APLNR;AQP9;ATP2A2;ATP2B1;ATP2C1;AXL;BDKRB1;BEST1;BST2;BTG2;C3AR1;C5AR1;CALCRL;CCL17;CCL2;CCL20;CCL22;CCL24;CCL5;CCL7;CCR7;CCRL2;CD14;CD40;CD48;CD55;CD69;CD70;CD82;CDKN1A;CHST2;CLEC5A;CMKLR1;CSF1;CSF3;CSF3R;CX3CL1;CXCL10;CXCL11;CXCL6;CXCL8;CXCL9;CXCR6;CYBB;DCBLD2;EBI3;EDN1;EIF2AK2;EMP3;EREG;F3;FFAR2;FPR1;FZD5;GABBR1;GCH1;GNA15;GNAI3;GP1BA;GPC3;GPR132;GPR183;HAS2;HBEGF;HIF1A;HPN;HRH1;ICAM1;ICAM4;ICOSLG;IFITM1;IFNAR1;IFNGR2;IL10;IL10RA;IL12B;IL15;IL15RA;IL18;IL18R1;IL18RAP;IL1A;IL1B;IL1R1;IL2RB;IL4R;IL6;IL7R;INHBA;IRAK2;IRF1;IRF7;ITGA5;ITGB3;ITGB8;KCNA3;KCNJ2;KCNMB2;KIF1B;KLF6;LAMP3;LCK;LCP2;LDLR;LIF;LPAR1;LTA;LY6E;LYN;MARCO;MEFV;MEP1A;MET;MMP14;MSR1;MXD1;MYC;NAMPT;NDP;NFKB1;NFKBIA;NLRP3;NMI;NMUR1;NOD2;NPFFR2;OLR1;OPRK1;OSM;OSMR;P2RX4;P2RX7;P2RY2;PCDH7;PDE4B;PDPN;PIK3R5;PLAUR;PROK2;PSEN1;PTAFR;PTGER2;PTGER4;PTGIR;PTPRE;PVR;RAF1;RASGRP1;RELA;RGS1;RGS16;RHOG;RIPK2;RNF144B;ROS1;RTP4;SCARF1;SCN1B;SELE;SELENOS;SELL;SEMA4D;SERPINE1;SGMS2;SLAMF1;SLC11A2;SLC1A2;SLC28A2;SLC31A1;SLC31A2;SLC4A4;SLC7A1;SLC7A2;SPHK1;SRI;STAB1;TACR1;TACR3;TAPBP;TIMP1;TLR1;TLR2;TLR3;TNFAIP6;TNFRSF1B;TNFRSF9;TNFSF10;TNFSF15;TNFSF9;TPBG;VIP,Stage0_frozen_HALLMARK_INFLAMMATORY_RESPONSE,competing_context_or_sensitivity
mhc_ii_apc_primary,10,HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQB1;CD74;HLA-DMA;HLA-DMB;CIITA,first_paper_Supplementary_Table_2,competing_context_or_sensitivity
mhc_ii_apc_generic,12,HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DPB1;HLA-DMA;HLA-DMB;CD74;CIITA;B2M;TAP1;TAP2;PSMB8,first_paper_Supplementary_Table_2,competing_context_or_sensitivity
t_cell_context,6,CD3D;CD3E;TRBC1;TRBC2;IL7R;LTB,predefined_canonical_marker_panel,competing_context_or_sensitivity
b_cell_context,6,MS4A1;CD79A;CD37;CD74;HLA-DRA;CD79B,predefined_canonical_marker_panel,competing_context_or_sensitivity
myeloid_context,7,LST1;TYROBP;FCER1G;CTSS;FCGR3A;AIF1;LYZ,predefined_canonical_marker_panel,competing_context_or_sensitivity
interferon_state,7,ISG15;IFI6;IFIT1;IFIT3;OAS1;MX1;STAT1,predefined_canonical_marker_panel,competing_context_or_sensitivity
fibroblast_ecm,7,COL1A1;COL1A2;COL3A1;DCN;LUM;PDPN;COL6A1,predefined_canonical_marker_panel,competing_context_or_sensitivity
osteoclast_context,8,CTSK;ACP5;TCIRG1;CLCN7;ATP6V0D2;NFATC1;CALCR;TNFRSF11A,predefined_canonical_marker_panel,competing_context_or_sensitivity
