"GSM","SRR","group","OA_status","patient_id","patient_id_uncertainty","Salmon_quant_path","Galaxy_dataset_id","mapping_rate","library_type","FastQC_status","batch","final_quant_valid","final_decision"
"GSM8655560","SRR31542966","OA","OA",NA,"patient-level identity not independently confirmed from public run manifest","PROJECT_ROOT/04_结果/Stage2B基因矩阵/Galaxy_quant/SRR31542966_quant.sf","formal Galaxy output; local export retained",87.4373,"IU","ok","batch02",TRUE,"KEEP"
"GSM8655561","SRR31542965","OA","OA",NA,"patient-level identity not independently confirmed from public run manifest","PROJECT_ROOT/04_结果/Stage2B基因矩阵/Galaxy_quant/SRR31542965_quant.sf","formal Galaxy output; local export retained",90.4336,"IU","ok","pilot",TRUE,"KEEP"
"GSM8655562","SRR31542964","OA","OA",NA,"patient-level identity not independently confirmed from public run manifest","PROJECT_ROOT/04_结果/Stage2B基因矩阵/Galaxy_quant/SRR31542964_quant.sf","formal Galaxy output; local export retained",91.1646,"IU","ok","pilot",TRUE,"KEEP"
"GSM8655563","SRR31542963","OA","OA",NA,"patient-level identity not independently confirmed from public run manifest","PROJECT_ROOT/04_结果/Stage2B基因矩阵/Galaxy_quant/SRR31542963_quant.sf","formal Galaxy output; local export retained",89.2394,"IU","ok","batch02",TRUE,"KEEP"
"GSM8655564","SRR31542962","OA","OA",NA,"patient-level identity not independently confirmed from public run manifest","PROJECT_ROOT/04_结果/Stage2B基因矩阵/Galaxy_quant/SRR31542962_quant.sf","formal Galaxy output; local export retained",88.7257,"IU","ok","batch02",TRUE,"KEEP"
"GSM8655565","SRR31542961","OA","OA",NA,"patient-level identity not independently confirmed from public run manifest","PROJECT_ROOT/04_结果/Stage2B基因矩阵/Galaxy_quant/SRR31542961_quant.sf","formal Galaxy output; local export retained",91.8087,"IU","ok","batch02",TRUE,"KEEP"
"GSM8655566","SRR31542960","OA","OA",NA,"patient-level identity not independently confirmed from public run manifest","PROJECT_ROOT/04_结果/Stage2B基因矩阵/Galaxy_quant/SRR31542960_quant.sf","formal Galaxy output; local export retained",86.1867,"IU","ok","batch02",TRUE,"KEEP"
"GSM8655567","SRR31542959","OA","OA",NA,"patient-level identity not independently confirmed from public run manifest","PROJECT_ROOT/04_结果/Stage2B基因矩阵/Galaxy_quant/SRR31542959_quant.sf","formal Galaxy output; local export retained",86.0699,"IU","ok","batch03",TRUE,"KEEP"
"GSM8655568","SRR31542958","OA","OA",NA,"patient-level identity not independently confirmed from public run manifest","PROJECT_ROOT/04_结果/Stage2B基因矩阵/Galaxy_quant/SRR31542958_quant.sf","formal Galaxy output; local export retained",88.8828,"IU","ok","batch03",TRUE,"KEEP"
"GSM8655569","SRR31542957","OA","OA",NA,"patient-level identity not independently confirmed from public run manifest","PROJECT_ROOT/04_结果/Stage2B基因矩阵/Galaxy_quant/SRR31542957_quant.sf","formal Galaxy output; local export retained",88.8418,"IU","ok","batch03",TRUE,"KEEP"
