"cohort","program","n","spearman_rho","p","ci_low","ci_high","source"
"GSE206848","general_inflammation",7,0,1,NA,NA,"previous_frozen_OA_analysis"
"GSE206848","mhc_ii_apc_primary",7,-0.214285714285714,0.644511581020721,NA,NA,"previous_frozen_OA_analysis"
"GSE206848","mhc_ii_apc_generic",7,-0.178571428571429,0.701657942516273,NA,NA,"previous_frozen_OA_analysis"
"GSE206848","t_cell_context",7,0.214285714285714,0.64451158102072,NA,NA,"previous_frozen_OA_analysis"
"GSE206848","b_cell_context",7,0.321428571428571,0.482072038299678,NA,NA,"previous_frozen_OA_analysis"
"GSE206848","myeloid_context",7,0.642857142857143,0.119392373427411,NA,NA,"previous_frozen_OA_analysis"
"GSE206848","interferon_state",7,0.214285714285714,0.64451158102072,NA,NA,"previous_frozen_OA_analysis"
"GSE206848","fibroblast_ecm",7,0.428571428571428,0.337368311085824,NA,NA,"previous_frozen_OA_analysis"
"GSE206848","osteoclast_context",7,0.571428571428571,0.180201988911528,NA,NA,"previous_frozen_OA_analysis"
"GSE55235","general_inflammation",10,-0.187878787878788,0.603217610029209,NA,NA,"previous_frozen_OA_analysis"
"GSE55235","mhc_ii_apc_primary",10,0.854545454545454,0.00163680331598671,NA,NA,"previous_frozen_OA_analysis"
"GSE55235","mhc_ii_apc_generic",10,0.793939393939394,0.00609992331369691,NA,NA,"previous_frozen_OA_analysis"
"GSE55235","t_cell_context",10,-0.648484848484848,0.0425401276844894,NA,NA,"previous_frozen_OA_analysis"
"GSE55235","b_cell_context",10,0.442424242424242,0.200422686711942,NA,NA,"previous_frozen_OA_analysis"
"GSE55235","myeloid_context",10,0.83030303030303,0.00294022702327952,NA,NA,"previous_frozen_OA_analysis"
"GSE55235","interferon_state",10,0.0666666666666667,0.854813088248743,NA,NA,"previous_frozen_OA_analysis"
"GSE55235","fibroblast_ecm",10,0.0181818181818182,0.960240418128624,NA,NA,"previous_frozen_OA_analysis"
"GSE55235","osteoclast_context",10,-0.127272727272727,0.72605701476279,NA,NA,"previous_frozen_OA_analysis"
"GSE55457","general_inflammation",10,0.0787878787878788,0.828717394697461,NA,NA,"previous_frozen_OA_analysis"
"GSE55457","mhc_ii_apc_primary",10,0.0909090909090909,0.802771731207162,NA,NA,"previous_frozen_OA_analysis"
"GSE55457","mhc_ii_apc_generic",10,-0.0545454545454545,0.881036181161853,NA,NA,"previous_frozen_OA_analysis"
"GSE55457","t_cell_context",10,-0.442424242424242,0.200422686711942,NA,NA,"previous_frozen_OA_analysis"
"GSE55457","b_cell_context",10,-0.490909090909091,0.149655673420837,NA,NA,"previous_frozen_OA_analysis"
"GSE55457","myeloid_context",10,0.163636363636364,0.651477342796243,NA,NA,"previous_frozen_OA_analysis"
"GSE55457","interferon_state",10,-0.248484848484848,0.488776304519243,NA,NA,"previous_frozen_OA_analysis"
"GSE55457","fibroblast_ecm",10,0.466666666666667,0.173938597165066,NA,NA,"previous_frozen_OA_analysis"
"GSE55457","osteoclast_context",10,-0.236363636363636,0.5108853175152,NA,NA,"previous_frozen_OA_analysis"
"GSE55584","general_inflammation",6,0.485714285714286,0.328723032069971,NA,NA,"previous_frozen_OA_analysis"
"GSE55584","mhc_ii_apc_primary",6,0.257142857142857,0.622787172011662,NA,NA,"previous_frozen_OA_analysis"
"GSE55584","mhc_ii_apc_generic",6,0.257142857142857,0.622787172011662,NA,NA,"previous_frozen_OA_analysis"
"GSE55584","t_cell_context",6,0.0285714285714286,0.957154518950437,NA,NA,"previous_frozen_OA_analysis"
"GSE55584","b_cell_context",6,0.0285714285714286,0.957154518950437,NA,NA,"previous_frozen_OA_analysis"
"GSE55584","myeloid_context",6,0.6,0.208,NA,NA,"previous_frozen_OA_analysis"
"GSE55584","interferon_state",6,-0.314285714285714,0.544093294460641,NA,NA,"previous_frozen_OA_analysis"
"GSE55584","fibroblast_ecm",6,-0.828571428571429,0.0415626822157434,NA,NA,"previous_frozen_OA_analysis"
"GSE55584","osteoclast_context",6,-0.2,0.704,NA,NA,"previous_frozen_OA_analysis"
"GSE82107","general_inflammation",10,0.224242424242424,0.533400561272595,NA,NA,"previous_frozen_OA_analysis"
"GSE82107","mhc_ii_apc_primary",10,0.127272727272727,0.72605701476279,NA,NA,"previous_frozen_OA_analysis"
"GSE82107","mhc_ii_apc_generic",10,0.103030303030303,0.77699846344389,NA,NA,"previous_frozen_OA_analysis"
"GSE82107","t_cell_context",10,-0.393939393939394,0.259997766834888,NA,NA,"previous_frozen_OA_analysis"
"GSE82107","b_cell_context",10,0.0666666666666667,0.854813088248743,NA,NA,"previous_frozen_OA_analysis"
"GSE82107","myeloid_context",10,-0.0303030303030303,0.933772958094147,NA,NA,"previous_frozen_OA_analysis"
"GSE82107","interferon_state",10,-0.0787878787878788,0.828717394697461,NA,NA,"previous_frozen_OA_analysis"
