"SRR","PC1","PC2","PC3","group","batch"
"SRR31542966",-46.3128990641973,96.5628173829196,20.5676024797426,"OA","batch02"
"SRR31542965",-43.3990079205561,48.8495665099405,-87.497669576201,"OA","pilot"
"SRR31542964",-49.313583784688,41.7752737058998,-31.0390577213698,"OA","pilot"
"SRR31542963",5.02855483870574,59.1574443768912,-13.7071055998195,"OA","batch02"
"SRR31542962",0.322922629645426,64.8925918206018,-7.15352104200465,"OA","batch02"
"SRR31542961",-37.0830995975916,2.04340097050212,-79.099674269312,"OA","batch02"
"SRR31542960",-125.31299049687,46.5704991189662,-26.9970920387892,"OA","batch02"
"SRR31542959",-68.512388169948,74.0221957181825,-15.2973774702203,"OA","batch03"
"SRR31542958",68.3990618276524,-5.10208374575258,-15.2090719843578,"OA","batch03"
"SRR31542957",123.876353740008,-11.1279949937201,45.1975481476656,"OA","batch03"
"SRR31542956",102.650337786658,-60.365518320172,-104.090010140342,"OA","batch03"
"SRR31542955",114.793220845763,120.788148409028,-95.6456560044352,"OA","batch03"
"SRR31542954",-274.286414520187,-31.9580156835504,-52.4188802513802,"OA","batch03"
"SRR31542953",-25.9479310248968,12.3504680881324,41.6511079618123,"OA","batch04"
"SRR31542952",-54.1193988297118,-67.3512743863431,-19.2039059273437,"OA","batch04"
"SRR31542951",-66.4489743122483,-50.2100611452424,-2.15935131730629,"OA","batch04"
"SRR31542950",138.861417920769,-161.264958292023,-132.492621019199,"OA","batch04"
"SRR31542949",-65.3228320302193,-14.7554229824798,4.14359534048602,"OA","batch04"
"SRR31542948",61.6081394807972,28.274350462566,16.4389474990609,"OA","batch04"
"SRR31542947",47.8219731802145,26.2995434210827,64.4609303053199,"OA","batch05"
"SRR31542946",141.600715767431,76.771441895669,-45.2475900728096,"OA","batch05"
"SRR31542945",65.3236713137016,-9.98145100084398,85.6285042322298,"OA","pilot"
"SRR31542944",23.317679480582,-107.252959746189,112.174677002245,"OA","batch05"
"SRR31542943",76.174345895639,-74.5443265794176,12.1950083085942,"OA","batch05"
"SRR31542942",-59.7611696447271,-104.00959892331,-13.0514630099663,"OA","batch05"
"SRR31542941",-30.643747699476,-42.1079995138759,68.9884667815907,"OA","batch05"
"SRR31542940",-9.5937698968373,-47.2250847034993,27.3992875919019,"OA","batch06"
"SRR31542939",-21.362085108584,-75.0436378616434,34.1270164816235,"OA","batch06"
"SRR31542938",80.9216095772419,27.2128816524317,32.8388371296605,"OA","batch06"
"SRR31542937",87.6037663323123,45.9653991956086,25.2461880539968,"OA","batch06"
"SRR31542936",18.7386122898143,-12.5705419971163,-5.54497035919913,"OA","batch06"
"SRR31542935",-34.5645928871262,55.7014181608094,65.4789315986434,"OA","batch06"
"SRR31542934",29.7246080127525,-5.16078865449982,25.4169041018287,"OA","batch06"
"SRR31542933",-50.4256291578007,4.39244199464112,18.3026911296831,"OA","batch07"
"SRR31542932",-9.60410928635085,24.0033680237879,59.3504645005289,"OA","batch07"
"SRR31542931",-35.1027878741694,38.4910879016073,1.00850995930541,"OA","pilot"
"SRR31542930",44.2586706581261,24.462530975691,32.9530205653436,"non_OA","batch07"
"SRR31542929",-48.9430295848766,-26.2460817373279,-28.0344702229364,"non_OA","batch07"
"SRR31542928",-8.76176599956442,-8.00246344299265,-3.27169644187554,"non_OA","batch07"
"SRR31542927",-31.1836140560581,20.1175306668989,-9.70829961097865,"non_OA","batch07"
"SRR31542926",-35.0198406311333,-24.4241367418543,-6.69875509143321,"non_OA","batch07"
