"program","frozen_gene_count","covered_gene_count","coverage_fraction","source","use"
"frozen_ra_up",150,138,0.92,"Stage1_GSE89408_frozen_reference","RA_projection"
"frozen_ra_down",150,134,0.893333333333333,"Stage1_GSE89408_frozen_reference","RA_projection"
"general_inflammation",200,200,1,"Stage0_frozen_HALLMARK_INFLAMMATORY_RESPONSE","competing_context_or_sensitivity"
"mhc_ii_apc_primary",10,10,1,"first_paper_Supplementary_Table_2","competing_context_or_sensitivity"
"mhc_ii_apc_generic",12,12,1,"first_paper_Supplementary_Table_2","competing_context_or_sensitivity"
"t_cell_context",6,6,1,"predefined_canonical_marker_panel","competing_context_or_sensitivity"
"b_cell_context",6,6,1,"predefined_canonical_marker_panel","competing_context_or_sensitivity"
"myeloid_context",7,7,1,"predefined_canonical_marker_panel","competing_context_or_sensitivity"
"interferon_state",7,7,1,"predefined_canonical_marker_panel","competing_context_or_sensitivity"
"fibroblast_ecm",7,7,1,"predefined_canonical_marker_panel","competing_context_or_sensitivity"
"osteoclast_context",8,8,1,"predefined_canonical_marker_panel","competing_context_or_sensitivity"
