"PC","variance_fraction"
"PC1",0.125344694475808
"PC2",0.0694263348269964
"PC3",0.054199003617086
"PC4",0.0427079805205024
"PC5",0.0409461661740732
"PC6",0.0358582690479951
"PC7",0.0317351863728433
"PC8",0.0270047196871176
"PC9",0.0259493849763749
"PC10",0.0247958231761152
"PC11",0.0236934688701134
"PC12",0.0226110166865407
"PC13",0.0217809344041747
"PC14",0.0211474482066385
"PC15",0.0208873122274997
"PC16",0.0203550276415399
"PC17",0.0197160708352684
"PC18",0.0196648333618891
"PC19",0.0192122535966966
"PC20",0.0188172227894875
"PC21",0.0185782520348038
"PC22",0.0181473554865768
"PC23",0.018087797933195
"PC24",0.0174900800057804
"PC25",0.0172992442202752
"PC26",0.0171487324189417
"PC27",0.0170578760663561
"PC28",0.0165410592363927
"PC29",0.0162805721281314
"PC30",0.0156644972216112
"PC31",0.0154283096494173
"PC32",0.0152060998605849
"PC33",0.0146267088868452
"PC34",0.0142906867584787
"PC35",0.0141560723390784
"PC36",0.0140384521664068
"PC37",0.0138788428602894
"PC38",0.0136868879454271
"PC39",0.013433121811983
"PC40",0.0131061994746641
"PC41",1.63311810677892e-29
