"SRR","library_size","detected_genes","zero_expression_fraction","median_sample_correlation","mapping_rate","group","batch","FastQC_status","PCA_flag","FastQC_flag","other_technical_flag","final_decision","reason"
"SRR31542966",9691882.86400007,27095,0.653857454935677,0.862562915792027,87.4373,"OA","batch02","ok",FALSE,FALSE,FALSE,"KEEP","no exclusion trigger"
"SRR31542965",11732665.016,27258,0.65177510635308,0.865062711472009,90.4336,"OA","pilot","ok",FALSE,FALSE,FALSE,"KEEP","no exclusion trigger"
"SRR31542964",10472618.9700001,26091,0.666683700192905,0.871646866495114,91.1646,"OA","pilot","ok",FALSE,FALSE,FALSE,"KEEP","no exclusion trigger"
"SRR31542963",10743154.908,27732,0.645719687775464,0.873514150111991,89.2394,"OA","batch02","ok",FALSE,FALSE,FALSE,"KEEP","no exclusion trigger"
"SRR31542962",10260502.9110001,27942,0.643036907392976,0.874307080061799,88.7257,"OA","batch02","ok",FALSE,FALSE,FALSE,"KEEP","no exclusion trigger"
"SRR31542961",10576681.0440001,26384,0.6629405828021,0.871234273995637,91.8087,"OA","batch02","ok",FALSE,FALSE,FALSE,"KEEP","no exclusion trigger"
"SRR31542960",9495344.05,24823,0.68288258364526,0.853406687022402,86.1867,"OA","batch02","ok",FALSE,FALSE,FALSE,"KEEP","no exclusion trigger"
"SRR31542959",8920707.01400003,25566,0.673390651149124,0.863520423789727,86.0699,"OA","batch03","ok",FALSE,FALSE,FALSE,"KEEP","no exclusion trigger"
"SRR31542958",13118013.918,26579,0.66044942958979,0.867361486203749,88.8828,"OA","batch03","ok",FALSE,FALSE,FALSE,"KEEP","no exclusion trigger"
"SRR31542957",13827992.9970001,26315,0.663822067784918,0.868207834896573,88.8418,"OA","batch03","ok",FALSE,FALSE,FALSE,"KEEP","no exclusion trigger"
"SRR31542956",13425444.0199999,26458,0.66199522209589,0.863616515286525,88.724,"OA","batch03","ok",FALSE,FALSE,FALSE,"KEEP","no exclusion trigger"
"SRR31542955",16764056.9260001,28650,0.633992104960589,0.873270821367345,90.016,"OA","batch03","ok",FALSE,FALSE,FALSE,"KEEP","no exclusion trigger"
"SRR31542954",9917395.02099997,22443,0.713287427980122,0.843177513225563,91.3638,"OA","batch03","ok",FALSE,FALSE,FALSE,"KEEP","no exclusion trigger"
"SRR31542953",9361452.898,27434,0.649526680889661,0.870414728958894,87.6174,"OA","batch04","ok",FALSE,FALSE,FALSE,"KEEP","no exclusion trigger"
"SRR31542952",8198746.907,25598,0.672981846519412,0.869785943851932,91.4585,"OA","batch04","ok",FALSE,FALSE,FALSE,"KEEP","no exclusion trigger"
"SRR31542951",9115533.87999997,26169,0.665687238907981,0.861822562587159,90.1541,"OA","batch04","ok",FALSE,FALSE,FALSE,"KEEP","no exclusion trigger"
"SRR31542950",17227971.9569999,22004,0.718895716493989,0.842302559816304,92.154,"OA","batch04","ok",FALSE,FALSE,FALSE,"KEEP","no exclusion trigger"
"SRR31542949",9573531.99200001,25514,0.674054958672407,0.872295636757502,91.6908,"OA","batch04","ok",FALSE,FALSE,FALSE,"KEEP","no exclusion trigger"
"SRR31542948",12693516.0400001,28201,0.639728144921241,0.872360107321388,87.1909,"OA","batch04","ok",FALSE,FALSE,FALSE,"KEEP","no exclusion trigger"
"SRR31542947",11762398.831,28057,0.641567765754947,0.866736464970504,87.4959,"OA","batch05","ok",FALSE,FALSE,FALSE,"KEEP","no exclusion trigger"
"SRR31542946",14870058.9690001,28876,0.631104922263245,0.874292740388854,88.1435,"OA","batch05","ok",FALSE,FALSE,FALSE,"KEEP","no exclusion trigger"
"SRR31542945",11362024.994,28217,0.639523742606385,0.872093256288382,87.4141,"OA","pilot","ok",FALSE,FALSE,FALSE,"KEEP","no exclusion trigger"
"SRR31542944",12102774.968,17941,0.77080112932279,0.807329525311881,71.2087,"OA","batch05","ok",FALSE,FALSE,TRUE,"QC-FLAG-BUT-KEEP","mapping rate below 80%; retain pending review because no paired/QC failure was observed"
"SRR31542943",12420123.904,25094,0.679420519437383,0.865902513769433,90.6619,"OA","batch05","ok",FALSE,FALSE,FALSE,"KEEP","no exclusion trigger"
"SRR31542942",9420006.96799998,25660,0.672189787549344,0.866787026105853,90.653,"OA","batch05","ok",FALSE,FALSE,FALSE,"KEEP","no exclusion trigger"
"SRR31542941",8944234.88799999,26346,0.663426038299884,0.873342142013851,88.9021,"OA","batch05","ok",FALSE,FALSE,FALSE,"KEEP","no exclusion trigger"
"SRR31542940",9639222.90599995,26097,0.666607049324834,0.872414088735192,89.7715,"OA","batch06","ok",FALSE,FALSE,FALSE,"KEEP","no exclusion trigger"
"SRR31542939",9381515.01299995,26173,0.665636138329267,0.870063757892838,89.0262,"OA","batch06","ok",FALSE,FALSE,FALSE,"KEEP","no exclusion trigger"
"SRR31542938",12522051.0430001,28435,0.636738761066469,0.875953110789926,88.1366,"OA","batch06","ok",FALSE,FALSE,FALSE,"KEEP","no exclusion trigger"
"SRR31542937",12759463.1730001,28460,0.636419382449506,0.875508098370261,87.8539,"OA","batch06","ok",FALSE,FALSE,FALSE,"KEEP","no exclusion trigger"
